,partyKey,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
92,9,4,5,2,4,4,0,5,1,3,1,4,3,5,3,1
93,9,3,4,3,4,4,4,2,2,4,3,4,4,4,4,1
94,9,3,2,3,4,5,5,2,1,5,3,5,2,5,1,3
95,6,2,4,1,5,5,5,5,4,1,1,5,5,3,2,4
96,6,2,4,4,5,5,5,4,4,1,1,5,5,3,4,4
97,2,2,3,5,5,3,4,4,1,4,2,3,3,5,4,2
98,2,5,1,5,5,5,3,5,1,5,1,5,5,3,1,1
99,2,3,2,1,4,5,4,2,1,1,1,5,3,5,3,1
100,1,4,1,5,4,1,5,4,1,5,1,5,5,3,4,3
101,9,4,1,5,5,4,5,4,3,3,1,4,4,5,4,5
102,9,4,2,5,5,4,2,4,3,4,2,4,4,5,2,3
103,9,4,2,5,5,4,2,4,2,4,3,4,4,5,2,3
104,9,5,4,5,5,1,3,4,1,3,3,5,3,1,4,3
105,9,4,3,5,5,4,2,4,1,5,3,4,1,5,1,1
106,6,1,2,1,2,5,5,5,5,3,1,4,5,3,1,1
107,2,3,2,4,5,3,2,5,4,1,1,4,5,1,2,2
108,2,3,5,2,5,5,5,4,2,1,1,5,1,2,4,1
109,7,1,2,1,1,4,5,5,5,1,1,4,5,1,4,5
110,7,1,2,1,1,4,5,5,5,1,1,3,5,3,4,4
111,4,4,5,5,5,5,5,4,3,4,1,5,5,5,3,1
112,9,2,5,2,5,3,1,5,5,1,1,5,3,4,1,2
113,9,2,5,4,5,5,2,4,1,2,2,4,2,5,2,1
114,9,4,3,3,2,4,4,4,1,1,1,5,5,4,2,2
115,9,4,4,1,4,1,4,4,3,3,3,5,5,3,4,4
116,9,4,2,5,5,4,2,4,3,3,2,5,4,5,5,1
117,0,1,1,3,4,4,5,5,5,1,1,1,5,1,5,5
118,8,1,2,1,2,4,4,4,3,1,2,2,5,1,2,4
119,8,1,2,1,5,5,5,4,5,2,2,4,5,1,4,2
120,8,1,1,1,4,4,4,4,4,3,1,5,4,3,4,5
121,8,2,2,1,2,4,4,4,3,3,2,3,5,2,5,3
122,8,1,1,2,4,5,4,5,3,2,1,2,5,2,4,4
123,8,1,2,1,1,5,5,3,3,5,1,3,5,3,5,1
124,6,2,4,3,4,5,5,5,4,4,2,2,5,1,3,4
125,6,1,1,2,2,5,4,5,4,1,1,1,5,2,3,5
126,6,3,4,2,2,3,4,5,5,3,1,3,5,4,3,3
127,2,3,4,4,5,5,5,3,2,1,2,5,5,5,5,4
128,7,1,1,1,1,5,5,5,5,1,1,1,5,1,5,5
129,7,1,2,1,1,5,5,4,5,1,1,2,3,1,5,4
130,9,4,2,3,5,4,2,5,3,2,2,5,2,5,4,1
131,9,3,2,4,5,4,2,4,3,2,2,5,4,5,4,1
132,9,2,4,2,4,2,2,2,3,2,2,4,4,4,5,4
133,9,4,4,2,4,4,4,4,3,2,3,5,4,3,4,1
134,9,4,1,3,4,4,4,5,1,3,4,5,5,3,2,2
135,9,3,4,3,2,2,4,4,3,4,1,5,5,4,5,4
136,9,4,4,5,5,4,2,5,3,4,2,4,5,5,2,1
137,9,3,5,4,2,4,4,4,2,2,3,4,4,3,3,3
138,9,4,2,4,5,4,2,4,2,4,2,5,4,5,2,1
139,3,1,1,1,1,4,5,5,5,1,1,1,5,1,5,5
140,8,1,1,1,3,4,3,5,3,1,1,4,5,3,2,3
141,6,2,4,2,4,5,4,5,5,1,1,3,5,2,2,5
142,7,1,1,3,2,3,1,5,4,1,1,4,5,3,3,4
143,4,3,1,5,5,3,4,4,3,3,5,5,4,5,5,1
144,9,3,5,2,5,5,5,3,1,5,1,5,5,5,3,1
145,9,4,2,4,5,2,5,4,3,3,1,4,4,2,2,1
146,9,3,4,3,5,4,4,3,1,5,2,4,5,5,4,1
147,3,1,2,1,1,2,5,5,5,1,1,1,4,1,5,5
148,3,1,1,1,2,5,5,5,5,1,1,3,5,1,5,5
149,3,1,1,1,1,5,5,5,5,1,1,2,5,1,5,5
150,3,1,1,3,3,5,5,5,3,3,1,3,5,1,3,3
151,8,2,2,1,2,4,2,5,3,1,1,2,5,2,2,4
152,8,1,4,1,4,5,4,2,3,1,2,5,5,4,4,4
153,8,2,2,1,1,4,5,4,4,1,1,3,4,3,3,4
154,8,1,4,1,1,3,3,4,1,2,2,1,5,1,5,3
155,8,2,3,2,3,3,4,4,3,2,3,4,4,2,3,3
156,6,3,1,3,2,5,5,5,4,1,4,1,5,3,4,2
157,2,2,2,4,4,4,4,3,3,2,2,4,4,3,2,1
158,1,1,3,3,4,3,2,2,1,5,3,5,4,5,5,1
159,1,4,1,5,4,3,4,4,1,5,3,5,5,5,5,5
160,9,2,1,3,4,5,2,4,2,4,4,5,5,5,4,1
161,9,4,2,4,4,4,3,4,3,4,2,4,3,5,2,1
162,3,1,2,1,2,5,5,5,5,1,1,1,5,1,5,5
163,8,2,3,1,1,5,5,4,5,1,1,1,4,2,4,5
164,6,2,3,1,4,5,4,5,3,1,1,1,5,3,3,4
165,6,2,2,2,4,4,4,4,3,3,3,4,5,3,4,5
166,6,1,2,1,1,1,4,4,3,1,1,4,5,1,4,4
167,2,2,2,5,5,1,5,4,2,4,1,5,4,3,5,4
168,2,4,2,4,5,4,5,5,2,4,1,5,4,4,5,1
169,2,4,3,5,5,5,5,5,4,1,1,5,4,4,5,1
170,7,1,1,1,2,5,5,5,4,1,1,1,5,1,5,5
171,7,1,4,2,2,5,5,5,5,1,1,4,5,2,2,4
172,7,1,4,1,2,4,4,4,4,1,1,4,5,2,4,4
173,4,5,4,5,5,1,3,2,1,3,5,5,3,4,4,1
174,1,2,1,2,2,5,5,4,1,4,3,5,5,4,4,2
175,1,1,1,1,1,4,5,4,1,5,4,1,4,4,4,2
176,1,3,3,3,2,5,4,3,1,5,3,4,3,4,3,3
177,9,2,5,5,4,4,4,4,2,3,2,5,4,4,3,4
178,9,4,4,5,4,2,5,5,1,5,1,5,5,3,4,4
179,9,1,3,5,5,4,1,5,1,5,3,5,3,5,1,1
180,7,1,1,1,1,5,5,5,5,1,1,4,1,5,1,5
181,7,1,2,2,2,5,5,5,4,1,1,3,5,3,4,5
182,7,1,4,1,1,4,5,5,4,1,1,2,5,1,2,4
183,9,3,3,3,4,5,4,4,1,5,5,4,5,5,3,4
184,9,5,5,5,5,4,1,4,4,4,5,5,2,5,1,1
185,3,1,1,1,4,3,5,5,4,1,1,1,5,1,5,5
186,3,4,4,0,3,5,5,4,5,3,1,1,5,2,5,5
187,8,2,4,1,2,5,5,5,4,2,3,1,5,4,2,4
188,8,1,1,1,2,5,5,5,2,1,2,1,4,4,1,4
189,8,1,2,3,4,5,5,5,3,3,2,3,4,2,2,4
190,8,1,2,1,2,4,5,3,5,3,1,2,3,1,4,4
191,6,3,4,2,3,5,5,5,4,4,1,5,4,3,4,3
192,6,2,4,3,2,4,5,5,4,1,1,4,5,4,4,4
193,6,2,2,1,4,4,2,4,5,1,1,4,5,2,4,2
