answerString,constituency,constituency_id,constituency_slug,firstName,id,isPartyLeader,lastName,partyLetter,partyName,photoUrl,party,name,link,constituencies,causes,cv,Beskæftigelse,Alder,Uddannelse,Valgt i
123212213155442,Ringsted,38,ringsted,Per,144,False,Nørhave,O,Dansk Folkeparti,http://www.altinget.dk/images/kv17/144-Per-Noerhave-a.jpg,"V. Venstre, Danmarks Liberale Parti",Mikael Wandel,/kandidater/kv17/mikael-wandel,Ballerup,"## ET TRYGT BALLERUP ##
Jeg går til kommunalvalg på, at det skal være trygt i at færdes i kommunen, uden risiko for at blive skudt på.
Jeg er derfor også glad for, det er vedtaget at sætte et større beløb af til bekæmpelse af bandekriminalitet. Vi skal bruge de muligheder, vi har til rådighed inden for lovens rammer. Det kan betyde, vi skal tage nogle drastiske og hårde beslutninger for at komme dette uvæsen til livs.## BALLERUP EN ATTRAKTIV KOMMUNE AT BO I ##
Jeg vil arbejde for, at vi fremtidssikrer Ballerup kommune. Vi skal have flere, der vælger Ballerup til. Det gør vi ved at udvikle og tænke nyt, når vi skal udvikle nye boligområder.  Vi skal kunne tilbyde moderne og bæredygtige boliger samt sikre en god kvalitet af vores institutioner og skoler. Vi skal overbevise folk, der arbejder i Ballerup kommune, om, at de skal bosætte sig her.## KULTUR OG FRITID ##
Vi skal sikre, at vores frivillige foreninger bliver ved med at være stærke foreninger. Det gør, at vi som kommune skal sikre, at der er de rette faciliteter til rådighed for vores foreninger. Uden vores gode foreninger og frivillige vil meget gå i stå. Vi har alle et ansvar for at passe på hinanden og vores fællesskab.",Mikael har desværre ikke skrevet sit CV,Privat ansat/selvstændig,40 år,Erhvervsuddannelse,2013
324224215242441,Ringsted,38,ringsted,Daniel,143,False,Nørhave,O,Dansk Folkeparti,http://www.altinget.dk/images/kv17/143-Daniel-Noerhave-a.jpg,"V. Venstre, Danmarks Liberale Parti",Kåre Harder Olesen,/kandidater/kv17/Kaare-Harder-Olesen,Ballerup,"## Jeg vil sikre en sund og stærk økonomi ##
Ballerup Kommune skal fortsat have en sund og robust økonomi, som ikke igen kører af sporet, da det vil gå ud over velfærden – ikke mindst for de svageste. Derfor skal den ansvarlige økonomiske politik, som Venstre har været med til at få gennemført, fastholdes, og derudover skal der skabes et økonomisk råderum til gennemførelse af den fortsatte udvikling af vores kommune. ## Jeg vil sænke den alt for høje skat ##
Borgerne skal have større økonomisk frihed til at tilrettelægge deres egen tilværelse, og vi skal gøre det mere attraktivt for økonomisk ressourcestærke borgere at flytte til kommunen.
Derfor vil jeg vil sænke både indkomstskat og grundskyld.## Jeg vil give borgerne større valgfrihed ##
Jeg vil give den enkelte borger flere valgmuligheder i forhold til den kommunale service.
Det betyder, at jeg vil indføre valgfrihed mellem kommunale og private løsninger, hvad enten det handler om daginstitution, skole, hjemmehjælp eller plejecenter. ","Jeg har været medlem af Kommunalbestyrelsen i Ballerup Kommune siden 1998, og har i den periode været medlem af de fleste stående udvalg, så jeg har erhvervet mig en bred kommunalpolitisk erfaring, som jeg - kombineret med min mangeårige ledelseserfaring fra det private erhvervsliv - gerne vil bruge til gavn for borgerne i Ballerup Kommune. Derfor genopstiller jeg som Venstres borgmesterkandidat til kommunalvalget den 21.november 2017.

Nuværende tillidshverv:
1998- Medlem af Kommunalbestyrelsen i Ballerup Kommune
2006- Gruppeformand for Venstres gruppe
2014- 2. viceborgmester
2006- Medlem af Økonomiudvalget
2014- Medlem af Social- og Sundhedsudvalget
2014- Næstformand i Kommunalbestyrelsens it-udvalg (§17.4)
2014- Medlem af følgende §17.4-udvalg:
Følgegruppen for Ballerup Kommunes Bymidter
Udvalget for udvikling af Pederstrup Landsby
2014- Medlem af RAR Hovedstaden (tidligere RBR)
2015- Formand for RAR Hovedstadens Sagsudvalg
2014- Næstformand i bestyrelsen for Fonden Grantoftegaard
2015- Medlem af bestyrelsen for Forsyning Ballerup",Privat ansat/selvstændig,57 år,Erhvervsuddannelse,"2009, 2013"
0,Ringsted,38,ringsted,Anders,142,False,Weber,O,Dansk Folkeparti,http://www.altinget.dk/images/kv17/142-Anders-Weber-a.jpg,O. Dansk Folkeparti,Rune K. Wegge,/kandidater/kv17/Rune-Kronborg-Wegge,Ballerup,,Rune K. har desværre ikke skrevet sit CV,Ikke oplyst,,,
0,Ringsted,38,ringsted,Pia,4321,False,Fussing,O,Dansk Folkeparti,http://www.altinget.dk/images/kv17/4321-Pia-Fussing-a.jpg,G. Guldborgsundlisten,John Brædder,/kandidater/kv17/John-Braedder,Guldborgsund,"## Det gode liv i Guldborgsund ##
Mere opbakning til vores mange frivillige, det skal være nemt at være frivillig, tiden skal ikke bruges på komplicerede ansøgninger, her skal vores forenings konsulent være behjælpelig. Når 1 forening har fundet lidt penge til forskellige formål skal Guldborgsund bakke op med et tilsvarende beløb## skabe arbejdspladser ##
Smidig sagsbehandling en indgang indbydelse til møde med nye virksomheder inden for 24 timer, afholdt møde efter 72 timer. Opbakning til iværksætteri, som kan skabe flere arbejdspladser, hjælpe bestående virksomheder videre, sammen med Business Lolland Falster. Give gode levevilkår i Guldborgsund, således flere for interesse i at bosætte sig, nemmere rekruttering af medarbejdere## Uddannelse ##
Nuværende folkeskole skal udvikles, med focus på bedre læring, ansættelse af yderligere 20 skole lærere  Partnerskab mellem folkeskolerne og ungdomsuddannelserne og Guldborgsund.  sikre en universitetsuddannelse bliver placeret i Nyk.sikre alle kan få praktikpladser  enten i Guldborgsund elller tyskland","Landmand agrarøkonom
Medlem af realdanias repræsentantskab
Næstformand Business LF
Bestyrelsesmedlem Fehmern Belt",Borgmester,55 år,Erhvervsuddannelse,"2009, 2013"
244455541145441,Ringsted,38,ringsted,Klaus,5547,False,Hansen,V,"Venstre, Danmarks Liberale Parti",http://www.altinget.dk/images/kv17/5547-5547-Klaus-Hansen-a.jpg,F. SF - Socialistisk Folkeparti,Ivan Bengtsen,/kandidater/kv17/ivan-bengtsen,Frederikshavn,,Ivan har desværre ikke skrevet sit CV,Ikke oplyst,61 år,,2013
425543435355541,Ringsted,38,ringsted,Per,5538,False,Roos,V,"Venstre, Danmarks Liberale Parti",http://www.altinget.dk/images/kv17/5538-Per-Roos-a.jpg,D. Nye Borgerlige,Poul E. Bundgaard,/kandidater/kv17/poul-e-bundgaard,Frederikshavn,,Poul har desværre ikke skrevet sit CV,Ikke oplyst,,,
123455551115154,Ringsted,38,ringsted,Henrik,2733,False,Kjær,Ø,Enhedslisten - De Rød-Grønne,http://www.altinget.dk/images/kv17/2733-2733-Henrik-Kjaer-a.jpg,B. Radikale Venstre,Nicolaj Lund Jensen,/kandidater/kv17/Nicolaj-Lund-Jensen,Faxe,"## Børn, unge & uddannelse ##
Bedre normeringer.

Inklusion på skolen, ikke i normalklasserne.

Ungdomshus på de unges præmisser

Roskilde Universitet til Haslev
## Kultur, natur & fritid ##
Vandkultushus i Haslev

De Hvide Dronninger i Faxe Ladeplads

Interaktivt kunst i byrummet

MTB spor og afmærkede vandreruter
## Erhverv, turisme & detailhandel ##
Kommunal organisation, som rummer erhverv- turisme-,          detailhandel.

IKEA til Faxe - Eco Valley til detailhandelsområde for store butikker.

Faxe kommune skal være stedet på Sjælland hvor man ønsker at drive virksomhed, arbejde og bo!
",Nicolaj har desværre ikke skrevet sit CV,Privat ansat/selvstændig,42 år,Gymnasial uddannelse,
241444532154315,Roskilde,39,roskilde,Joy,3142,False,Mogensen,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/3142-Joy-Mogensen-a.jpg,Ø. Enhedslisten - De Rød-Grønne,Jesper Hjelm Kristensen,/kandidater/kv17/Jesper-Hjelm-Kristensen,Kalundborg,"## Børn og unge: ##
Jeg ønsker at vi udvikler Kalundborg Kommunes tilbud til børn og unge. Vi skal have en velfungerende skole med veluddannet personale der kan sikre børnenes læring og trivsel. Vi skal have øgede normeringer der kan støtte de nu inkluderede børn og deres kammerater. Vi skal have mere faguddannet personale i daginstitutionerne og endeligt skal vi sikre børnene en række sunde fritidstilbud.## Arbejdsmarked: ##
Vi skal sikre at der tages hånd om de mennesker der af den ene eller anden grund for behov for fællesskabets hjælp. Vi skal sikre at sygemeldte, ledige, førtidspensionister, fleksjobbere, pensionister etc. får den nødvendige støtte og hjælp. Har vi ikke selvforståelsen af at være del af et fællesskab, eller forstår værdien af det, så har vi intet tilbage.## Indlicitering: ##
Vi skal have stoppet yderligere planer om udlicitering af offentlige opgaver og arbejdspladser. Istedet skal vi opbygge en sund kommunal virksomhed, baseret på medarbejdernes selvbestemmelse og medindflydelse. Opgaver skal indliciteres hvor det er muligt og der skal stilles høje sociale og miljømæssige krav til eksterne leverandører.",Jesper Hjelm har desværre ikke skrevet sit CV,Offentligt ansat,50 år,Bachelor-/diplomuddannelse,2013
141445451144244,Roskilde,39,roskilde,Morten,1703,False,Gjerskov,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1703-Morten-Gjerskov-Pedersen-a.jpg,B. Radikale Venstre,Lars Simonsen,/kandidater/kv17/Lars-Simonsen,Fredensborg,,,,,,
111155544155255,Roskilde,39,roskilde,Torben,1707,False,Jørgensen,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/kvadrat-1707-Torben-Henning-Joergensen-a.jpg,B. Radikale Venstre,Tonny Lacomble Nielsen,/kandidater/kv17/Tonny-Lacomble-Nielsen,Fredensborg,"## Investér i børn, unge og fremtiden ##
En god start på livet er afgørende for senere at udfolde sine muligheder. Vi skal have flere pædagoger - især for de yngste - og gode fysiske rammevilkår for både daginstitutioner og skoler. Der skal være fokus på dygtig ledelse og motiverende vilkår for medarbejderne. I fritids- og idrætslivet er det en særlig opgave for kommunen at sikre involvering af børn og unge fra udsatte familier.## Natur, kulturhistorie og grøn omstilling ##
Den lokale natur og kulturhistorie skal bevares. Økologi skal også ind i maden for de ældre. Og kommunens ambitiøse klimapolitik skal fastholdes. At nå Fredensborg Kommunes mål om at  reducere CO2 med 25 % i 2020 i hele kommunens område bliver en af de vigtigste opgaver for det nye byråd.## Hjælp udsatte og krøllede hoveder ##
Ethvert samfund skal måles på, hvordan det hjælper de, der har det svært, herunder udsatte børn og svage ældre, syge, social-psykiatriske borgere, handicappede og pårørende, der har brug for hjælp og adgang til at udfolde deres muligheder i livet. Jeg er stolt af i snart 8 år at have været lokalformand for en byrådsgruppe og et bagland, der igen og igen med god succes har kæmpet for netop dét.","Jeg har arbejdet for bedre transport siden jeg blev færdig med min uddannelse i statskundskab - først i Vejdirektoratet, Hovedstadens UdviklingsRåd (HUR), Movia og nu i DSB som senior forretningsudvikler for erhverv. Undervejs var jeg i 6 år tilidsrepræsentant for ca. 40 Djøf´ere i Movia.

Som 15-årig meldte jeg mig ind i Kristeligt Folkepartis Ungdom (KFU). Her var jeg senere politisk næstformand i 3 år og i periode folketingskandidat for moderpartiet. Jeg meldte mig ind i Radikale Venstre i 1998 efter at have arbejdet for MEP Lone Dybkjær et års tid i Europa-Parlementet. Da vores børn var små var jeg med i flere forældrebestyrelser og i 5 år formand for Molevitten Fritidshjem og Klub i Nivå. Siden 2010 har jeg været formand for Radikale Venstre i Fredensborg Kommune.",Offentligt ansat,47 år,Kandidatuddannelse,
